Size,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
6,4,1,3,1,3,3,3,4,3,7,3,0
6.5,3,2,0,1,0,0,1,7,2,1,2,1
7,0,0,1,0,6,4,4,2,3,0,0,0
7.5,3,2,3,1,7,0,7,3,4,6,1,1
8,7,9,7,3,12,2,9,4,7,5,2,6
8.5,12,12,8,8,15,9,17,17,6,9,10,6
9,17,13,13,11,21,22,25,30,26,25,13,10
9.5,19,25,27,24,26,33,25,47,31,44,37,26
10,17,26,26,19,16,31,25,24,23,31,15,20
10.5,13,16,22,14,28,19,18,15,19,21,16,10
11,5,16,13,10,10,11,15,8,9,7,6,7
11.5,4,3,6,3,3,5,6,4,5,12,13,5
12,3,0,0,4,4,4,3,12,4,9,2,1
13,1,1,2,0,3,2,1,0,0,4,3,2
14,2,6,3,3,5,3,2,1,0,1,2,1
15,0,0,0,1,1,0,4,0,0,0,0,2
16,0,0,0,0,0,0,0,0,0,0,0,0
